CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Juizo;Instancia;Data_Instauracao;Valor_Causa;Partes_Processo;Chance_Perda;Principais_Fatos;Analise_Impacto_Perda
01.235.622/0001-61;2020-12-01;1;01043578220078190001;1 VC-RJ;1ª Instância;2007-07-16;321436;ANA LUCIA GAJEVSKI X OPP FUNDO;REMOTA;Rescisão do contrato de compra e venda definitiva do imóvel situado na Av. Dulcídio Cardoso, nº 1.315, apto 202, bloco 01.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0247892-69.2007.8.19.0001;12ª Vara de Fazenda Pública;1ª Instância;2007-12-14;0;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X O.S. Serviços;POSSÍVEL;Estamos apenas atuando na execução fiscal para dar baixa no 9º Distribuidor.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0225531-24.2008.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2008-08-06;1312498.47;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 318, inscrição imobiliária nº 2972054-7, consubstanciado na CDA nº 01/158.211/2006, referente ao exercício de 2004.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0257272-82.2008.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2008-08-21;2699563.23;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 321, consubstanciados nas CDAs nºs 01/158.212/2006 e 01/140.623/2006, referente exercício de 2004.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0386507-05.2008.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2008-11-27;0;Banco Opportunity S/A X Município do Rio de Janeiro;REMOTA;Trata-se de medida cautelar de produção antecipada de provas cujo escopo é a realização de prova pericial a ser utilizada em posterior ação judicial ou processo administrativo, visando comprovar que o Município do Rio de Janeiro vem utilizando como base de cálculo de IPTU valor venal acima da realidade mercadológica do imóvel situado na Avenida das Américas, 700, bloco 8, lojas 115K, 118A, 118B, 118C, 118D, 118E, Barra da Tijuca.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0386504-50.2008.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2008-11-27;0;Banco Opportunity S/A X Município do Rio de Janeiro;REMOTA;Trata-se de medida cautelar de produção antecipada de provas cujo escopo é a realização de prova pericial a ser utilizada em posterior ação judicial ou processo administrativo, visando comprovar que o Município do Rio de Janeiro vem utilizando como base de cálculo de IPTU valor venal acima da realidade mercadológica do imóvel situado na Avenida das Américas, 700, bloco 8, lojas. 301 A - 302 A - 302 E - 302 F - 302 G- 302 H - 303 A - 303 B - 303 E - 305 B - 305 C - 305 I - 305 K - 306 A - 306 C - 306 E - 306 F - 309 A - 309 G - 309 H, Barra da Tijuca.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0386500-13.2008.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2008-11-27;0;Banco Opportunity S/A X Município do Rio de Janeiro;REMOTA;Trata-se de medida cautelar de produção antecipada de provas cujo escopo é a realização de prova pericial a ser utilizada em posterior ação judicial ou processo administrativo, visando comprovar que o Município do Rio de Janeiro vem utilizando como base de cálculo de IPTU valor venal acima da realidade mercadológica do imóvel situado na Avenida das Américas, 700, bloco 8, lojas 317G - 317H - 317 I - 317J - 317M - 319I - 319J - 320A - 320B - 320C - 320D - 320E - 320F, Barra da Tijuca.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0091608-62.2009.8.19.0001;23ª Vara Cível;1ª Instância;2009-04-14;0;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X Espólio de Wenceslau Dyminsk Wozniewicz;POSSÍVEL;Estamos atuando nesta ação unifcamente para Impedir a realização de penhora sobre o matrícula do imóvel localizado na Rua General Goés Monteiro, nº 125.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0170900-96.2009.8.19.0001;3ª Vara Cível da Capital/RJ;1ª Instância;2009-07-07;5597.76;CONDOMÍNIO DO EDIFÍCIO DA RUA SÃO CLEMENTE 159XBANCO OPPORTUNITY S.A.;REMOTA;Trata-se de ação de obrigação de fazer na qual o autor requer que as rés sejam compelidas a promover o pagamento dos IPTUs de 2001 e 2002.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0273775-47.2009.8.19.0001;12ª Vara de Fazenda Pública;1ª Instância;2009-10-07;0;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X Rio Urbe - Empresa Munic. De Urbanização;POSSÍVEL;Estamos apenas atuando na execução fiscal para dar baixa no 9º Distribuidor sem o pagamento de custas.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;04033873820098190001;24 VC-RJ;1ª Instância;2009-12-18;943026.47;OPP FUNDO X LEA LIMA LOURENÇO e FRANCISCO PINTO DO MONTE;REMOTA;Decretação do despejo e cobrança dos aluguéis e encargos locatícios inadimplidos.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0020895-28.2010.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2010-01-18;876408.67;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 318, inscrição imobiliária nº 2972054-7, consubstanciados nas CDAs nºs 01/144.180/2009, 01/120.941/2008 e 01/144.181/2009, referente aos exercícios de 2007 e 2006.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0016515-59.2010.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2010-01-18;4228311.82;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 121, inscrição imobiliária nº 2971692-5, consubstanciados nas CDAs nºs 01/120875/2008, 01/144178/2009 e 01/144177/2009, referentes aos exercícios de 2006 e 2007.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0037387-95.2010.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2010-01-21;861039.3;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 321, consubstanciados nas CDAs nºs 01/144.185/2009, 01/144.184/2009 e 01/120.944/2008, referente aos exercícios de 2006 e 2007.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0026921-08.2011.8.19.0001;3º Juizado Especial Cível;1ª Instância;2011-01-28;0;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X Luiz Fernando Gabaglia;POSSÍVEL;Estamos atuando nesta ação unifcamente para Impedir a realização de penhora sobre o matrícula do imóvel localizado na Rua General Goés Monteiro, nº 125.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0224497-09.2011.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2011-07-11;581439.56;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 318, inscrição imobiliária nº 2972054-7, consubstanciados nas CDAs nºs 01/144.182/2009 e 01/144.183/2009, referente ao exercício de 2007.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0218710-96.2011.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2011-07-11;227153.48;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 121, inscrição imobiliária nº 2971692-5, consubstanciado na CDA nº 01/144.179/2009, referente ao exercício de 2007.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0278447-30.2011.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2011-08-05;561076.18;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU, relativos ao imóvel situado à Av. das Américas, 700, loja 321, consubstanciados nas CDAs nºs 01/144186/2009 e 01/144187/2009, referente aos exercícios de 2001 e 2000.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0298642-36.2011.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2011-08-22;0;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de embargos à execução que visa desconstituir as CDAs ora executadas.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0298630-22.2011.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2011-08-22;0;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de embargos à execução que visa desconstituir as CDAs ora executadas.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0392092-33.2011.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2011-11-07;0;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de embargos à execução que visa desconstituir as CDAs ora executadas.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0392100-10.2011.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2011-11-07;0;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de embargos à execução que visa desconstituir as CDAs ora executadas.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0092235-61.2012.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2012-03-21;2628083.84;Município do Rio de Janeiro X Banco Opportunity S/A;POSSÍVEL;Trata-se de execução fiscal que visa a cobrança de supostos débitos de IPTU  consubstanciados na certidão de dívida ativa nº. 01/123149/2011,  referente ao exercício de 2009.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0285291-59.2012.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2012-07-20;3396521.75;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de ação ordinária que visa: (i) Inicialmente a concessão da liminar para suspender a exigibilidade destas exações (01/140623/2006 01/158212/2006 01/120944/2008 01/144184/2009 01/144185/2009 01/144186/2009 01/144187/2009) (ii) declarar nulos os lançamentos tributários de IPTU referentes aos exercícios de 2002 a 2012 incidentes sobre o imóvel do Autor, devendo ser calculado o efetivo valor do imposto devido de acordo com o laudo pericial produzido na ação cautelar de produção antecipada de provas) (iii) considerando o valor efetivamente devido a título de IPTU incidente sobre o imóvel do autor nos exercícios de 2002 a 2012 e os pagamentos já efetuados pelo autor nesses mesmos períodos, declarar inexistente qualquer dívida de IPTU sobre o imóvel do autor nesses exercícios  (iv) condenar o Município a restituir o valor de R$ 1.256.332,47 (hum milhão, duzentos e cinquenta seis mil, trezentos e trinta e dois reais e quarenta e sete centavos), pago a maior a título de IPTU nos exercícios de 2002 a 2012, acrescidos de correção monetária e juros de mora na forma da lei.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0285287-22.2012.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2012-07-20;6199994.88;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de ação ordinária que visa: (i) a concessão da liminar para suspender a exigibilidade da exação (01/123149/2011), pois ilegal e abusiva, conforme demonstrado no laudo pericial homologado nos autos da cautelar de produção antecipada de prova n° 2007.001.100634-4. (ii) sejam declarados nulos os lançamentos tributários de IPTU referentes aos exercícios de 2002 a 2012 incidentes sobre o imóvel do autor, devendo ser calculado o efetivo valor do imposto devido de acordo com o laudo pericial produzido na ação cautelar de produção antecipada de provas n° 2007.001.100634-4 (iii) seja considerado o valor efetivamente devido a título de IPTU incidente sobre o imóvel do autor nos exercícios de 2002 a 2012 e os pagamentos já efetuados pelo autor nesses mesmos períodos, declarar inexistente qualquer dívida de IPTU sobre o imóvel do autor nesses exercícios (iv) condenar o Município a restituir o valor de R$ 4.085.728,39 (quatro milhões, oitenta e cinco mil, setecentos e vinte oito reais e trinta e nove centavos), pago a maior a título de IPTU nos exercícios de 2002 a 2012, acrescidos de correção monetária e juros de mora na forma da lei (v) condenar o Município a observar, também para os exercícios posteriores, os valores apurados no laudo pericial homologado, devidamente corrigidos em consonância com a legislação municipal, de modo a evitar a perpetuação da cobrança indevida nos exercícios futuros.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0285279-45.2012.8.19.0001;12ª Vara de Fazenda Publica da Comarca da Capital do TJ/RJ;1ª Instância;2012-07-20;3842732.3;Banco Opportunity S/A X Município do Rio de Janeiro;POSSÍVEL;Trata-se de ação ordinária que visa: (i) a concessão da liminar para suspender a exigibilidade destas exações (01/158211/2006 01/120941/2008 01/144180/2009 01/144181/2009 01/144182/2009 01/144183/2009), pois ilegais e abusivas, conforme demonstrado no laudo pericial homologado nos autos da cautelar de produção antecipada de prova nº 2007.001.098800-5. (ii) sejam declarados nulos os lançamentos tributários de IPTU referentes aos exercícios de 2002 a 2012 incidentes sobre o imóvel do autor, devendo ser calculado o efetivo valor do imposto devido de acordo com o laudo pericial produzido na ação cautelar de produção antecipada de provas n°2007.001.098800-5 (iii) seja considerado o valor efetivamente devido a título de IPTU incidente sobre o imóvel do autor nos exercícios de 2002 a 2012 e os pagamentos já efetuados pelo autor nesses mesmos períodos, declarar inexistente qualquer dívida de IPTU sobre o imóvel do autor nesses exercícios (iv) condenar o Município a restituir o valor de R$ 1.421.380,38 (hum milhão, quatrocentos e vinte e um mil, trezentos e oitenta reais e trinta e oito centavos), pago a maior a título de IPTU nos exercícios de 2002 a 2012, acrescidos de correção monetária e juros de mora na forma da lei. (v) condenar o Município a observar, também para os exercícios posteriores, os valores apurados no laudo pericial homologado, devidamente corrigidos em consonância com a legislação municipal, de modo a evitar a perpetuação da cobrança indevida nos exercícios futuros.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0056137-13.2012.8.07.0001;PRIMEIRA VARA CÍVEL DE BRASÍLIA;1ª Instância;2012-12-19;62113.04;ALFREDO LUIZ CAMPOS JUNIOR E  MICHELINE GOMES CAMPOS DA LUZ X  OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIARIO E  TAO EMPREENDIMENTOS IMOBILIARIOS SA E JOAO FORTES ENGENHARIA SA;PROVÁVEL;Devolução dos valores pagos a título de corretagem em dobro, lucros cessantes, multa contratual, indenização por danos extrapatrimoniais.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0046470-66.2013.8.07.0001;SEGUNDA VARA CÍVEL DE BRASÍLIA;1ª Instância;2013-04-12;400000;RICARDO JOSE PATERNOSTRO RODRIGUES X  BANCO OPPORTUNITY S.A. e  JFE 2 EMPREENDIMENTOS IMOBILIARIOS LTDA e  JOAO FORTES ENGENHARIA SA;PROVÁVEL;Antecipação dos efeitos da tutela rescisão contratual devolução integral dos valores pagos e lucros cessantes.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0146316-23.2013.8.19.0001;12º VFP;1ª Instância;2013-05-02;0;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO X MUNICIPIO DO RIO DE JANEIRO;POSSÍVEL;Declaração de nulidade da Nota de Lançamento 634/2011, cobrança de ISS. O depósito foi convertido em renda, requer-se a repetição.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;01531330620138190001;33 VC-RJ;1ª Instância;2013-05-09;44718.72;OCEAN DRIVE LANCHONETE LTDA. - ME X OPP FUNDO;REMOTA;Depósito judicial dos alugueis devidos pela locação da loja, pois alega dúvida quanto a quem deveria efetuaros pagamentos, uma vez que o imóvel era de propriedade da VOT.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;01676346220138190001;10 VC-RJ;1ª Instância;2013-05-17;0;OPP FUNDO X VESÚVIO COMÉRCIO E INDUSTRÍA DE GUARDA CHUVAS LTDA.;POSSÍVEL;Decretação do despejo , com a condenação ao pagamento de aluguel pena.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;00210011820138070001;3ª V.EXE.;1ª Instância;2013-06-10;0;OPP FUNDO X FLÁVIO RODRIGUES CALIL DAHER;REMOTA;Cobrança das parcelas do financimento imobiliário pactuados nas promessas de compra e venda das unidades 313 e 614.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;00690075620138070001;IV JEC;1ª Instância;2013-07-05;27661.02;FLAVIO RODRIGUES CALIL DAHER X OPP FUNDO;POSSÍVEL;Restiuição, em dobro, dos valores pagos a título de comissão de corretagem.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0005399-58.2003.8.19.0209;6º VARA DA BARRA DA TIJUCA;1ª Instância;2013-07-15;34953;OPPORTUNITY X MARIA ELEONEIDA DE ALBUQUERQUE RIBEIRO;REMOTA;TRATA-SE DE EXECUÇÃO, TENDO EM VISTA O IINADIMPLEMENTO NO PAGAMENTO DAS PRESTAÇÕES OBJETO DO FINANCIMENTO IMOBILIÁRIO;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;425318;Quarta Turma do STJ;1ª Instância;2013-10-24;0;OPP FUNDO X ANA LUCIA GAJEVSKI;PROVÁVEL;Reformar a decisão que inadmitiu o recurso especial para determinar que a Décima Sética Câmara Cível do Tribunal de Justiça do Rio de Janeiro se manifeste expressamente acerda da omissão e obscuridade apontadas e, caso assim não se entenda, para restabelecer a sentença de primeira instância que corretamente julgou improcedente o pedido, em razão da confessada inadimplência da autora, que tornou incontroversa a mora, bem como porque o procedimento de cobrança estabelecido nos artigos 26 e 27 da Lei 9.514/97 foi absolutamente observado, tendo sido a propriedade fiduciária consolidade por ausência de arrematantes e quitado a dívida, não havendo que se falar em interesse para rescindir contrato já extinto.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;004200995920138070001;25ª VC;1ª Instância;2013-11-04;191722.97;MARCO AURÉLIO LIMA FERNANDES X OPP FUNDO;POSSÍVEL;Rescisão da promessa de compra e venda da unidade (Apart-hotel) nº 309 Bloco.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;00361568320138190209;2 VC-BT;1ª Instância;2013-11-22;16558348.84;OPP FUNDO X PORCÃO LICENCIAMENTOS E PARTICIPAÇÕES S.A;REMOTA;Decretação do despejo e a cobrança dos alugueis e encargos locatícios, no valor histórico de R$ 7.638.522,56.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;00322489320134025101;26 VF-RJ;1ª Instância;2013-12-18;0;INPI - Instituto Nacional de Propriedade Intelectual  X OPP FUNDO;POSSÍVEL;Provimento dos embargos à excução por suposta ilegitimidade passiva e ausência de título executivo.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0049271-52.2013.8.07.0001;VIGÉSIMA TERCEIRA VARA CÍVEL DE BRASÍLIA;1ª Instância;2013-12-19;81346.21;DELIANA MACHADO VALENTE X  BANCO OPPORTUNITY SA e JFE 2 EMPREENDIMENTOS IMOBILIARIOS LTDA;POSSÍVEL;Rescisão contratual com a devolução dos valores pagos;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;0187189-60.2016.8.19.0001;TRIGÉSIMA SEGUNDA VARA CÍVEL DO RJ;1ª Instância;2014-01-24;10482491.74;NTR EMPREITEIRA DE MÃO DE OBRA LTDA X OPPORTUNITY FII e JFE 2 EMPREENDIMENTOS IMOBILIARIOS LTDA;POSSÍVEL;PRESTAÇÃO DE SERVIÇOS  - empreitada e obra de mão especializada;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;00364496120148190001;23 VC-RJ;1ª Instância;2014-02-04;1000;GUSTAVO DE BARROS MACIEIRA E ALYNE DE OLIVEIRA SILVA. X OPP FUNDO E BALASSIANO ENGENHARIA LTDA;POSSÍVEL;Restituição em dobro do que foi repassado para o Banco do Brasil como saldo devedor da portabilidade e oque deveria ter sido o correto, acrescido de encargos legais (correção monetária e juros de mora) a contar da assinatura do contrato de portabilidade, bem como a condenção ao pagamento de indenização por danos morais.;Perda dos valores relacionados
01.235.622/0001-61;2020-12-01;1;00512447220148190001;15 VC-RJ;1ª Instância;2014-02-12;368163.82;OPP FUNDO X CULINÁRIA ALEMÃ BAR E RESTAURANTE LTDA EPP;REMOTA;Decretação do despejo e a cobrança dos alugueis e encargos locatícios.;Perda dos valores relacionados
